"","dates","a1.x","a1.y","a10.x","a10.y","a14.x","a14.y","a15.x","a15.y","a17.x","a17.y"
"1",2009-12-01 12:00:00,NA,NA,698.69570088305,643.168959730305,NA,NA,NA,NA,NA,NA
"2",2009-12-01 14:00:00,NA,NA,709.610244822048,675.944978279993,710.047385764017,668.52384854015,691.766398908047,676.107548280619,NA,NA
"3",2009-12-01 16:00:00,698.483837909007,689.65162061993,685.485086913046,686.728170310147,695.807109303016,700.776632910594,691.662094122032,682.012586720288,679.690447066037,698.261514270678
"4",2009-12-01 18:00:00,700.020005387021,681.459185570478,689.138787068019,681.762112520635,699.705475785013,688.913566970266,688.427697857027,680.571598989889,698.483837909007,689.65162061993
"5",2009-12-01 20:00:00,773.918029830034,662.031054050662,775.768446218048,652.891008100472,772.943112173001,659.069623620249,762.472193661029,676.696278470568,772.487552481005,649.04327396024
"6",2009-12-01 22:00:00,782.161006545997,609.558904670179,773.585279686027,601.500369810499,822.004119584046,597.783603610471,783.377660947037,606.525779520161,786.340549574001,609.505142100155
"7",2009-12-02 00:00:00,766.86578280601,575.522238320671,739.565000698029,579.727544790134,NA,NA,767.269198039023,587.364688320085,753.541907478997,522.663415180519
"8",2009-12-02 02:00:00,758.176765351032,578.505140360445,743.948207048001,581.901502540335,765.375216501998,507.874673030339,765.664430220029,594.632461950183,761.705134829041,505.531969360076
"9",2009-12-02 04:00:00,758.881821822026,576.954915369861,749.223955663037,577.433196410537,765.115438660025,505.646971950307,NA,NA,NA,NA
"10",2009-12-02 06:00:00,874.588677629014,580.66643213015,804.393292877008,569.812826570123,773.849233140005,541.224503500387,NA,NA,761.760173627001,557.896656210534
"11",2009-12-02 08:00:00,697.495164439024,500.639251650311,707.474962239037,493.631154090166,774.709309942031,501.503333070315,733.443960146047,511.343810570426,NA,NA
"12",2009-12-02 10:00:00,757.045686528028,484.585263459943,720.16755292,498.427057269961,769.548616985034,495.843786890619,763.442570851999,480.158776449971,770.041183997004,485.692969330586
"13",2009-12-02 12:00:00,722.636402147007,581.469923640601,721.775970971037,620.734319849871,723.227385079022,590.504296850413,720.202545432025,596.30463587027,720.675420148997,614.085304629989
"14",2009-12-02 14:00:00,386.575765284011,856.717791460454,392.012723940017,819.102639600635,392.589090071036,801.898768760264,375.513299646031,803.264568409882,368.039928734011,865.729974980466
"15",2009-12-02 16:00:00,232.089231982012,828.192070280202,NA,NA,283.729251205048,828.30349929072,220.612973813026,818.091885540634,292.271369431051,804.641073910519
"16",2009-12-02 18:00:00,211.387081787048,826.536511240527,315.422349218046,725.19252406992,224.346902878024,813.035846250132,220.489004336996,815.317887490615,219.072246544005,817.504997800104
"17",2009-12-02 20:00:00,227.517261287023,819.590542510152,308.368782933045,734.155596810393,226.034578479012,817.644320290536,225.596421444032,824.163073370233,209.409003858047,830.641201890074
"18",2009-12-02 22:00:00,259.133801593038,592.474873430096,364.765075411997,548.885594150051,302.272834983014,591.403508800082,353.14800467802,539.776944720186,249.290557406028,587.896749069914
"19",2009-12-03 00:00:00,524.149335550028,591.912593420595,NA,NA,511.75093561603,621.978388640098,507.573416603031,631.714502559975,518.708763914008,566.567148620263
"20",2009-12-03 02:00:00,550.483796846995,526.329408350401,NA,NA,544.158260099997,519.60334939044,557.622505681007,527.438479689881,549.381696902041,528.0143578602
"21",2009-12-03 04:00:00,553.362878586049,516.964108750224,549.965927985031,533.851154319942,543.145508425019,524.842042100616,560.745575244015,538.093561409973,540.098010328016,529.372676420026
"22",2009-12-03 06:00:00,557.303276720049,523.818213620223,530.640300080006,575.18550604023,544.867290928029,517.596274690703,558.07479130401,526.858072049916,539.027990840026,545.20704546012
"23",2009-12-03 08:00:00,381.041380389011,787.219052260742,NA,NA,394.377314019017,801.515876440331,363.435217900027,762.448178330436,395.587853687,785.14625249058
